zone;X;Y;time;idleDRTVehicles
248;455000.0;5741000.0;0.0;0
248;455000.0;5741000.0;0.0;1
248;455000.0;5741000.0;0.0;2
248;455000.0;5741000.0;21153.0;1
248;455000.0;5741000.0;21755.0;0
248;455000.0;5741000.0;30163.0;1
248;455000.0;5741000.0;30213.0;2
248;455000.0;5741000.0;30643.0;1
248;455000.0;5741000.0;31077.0;2
248;455000.0;5741000.0;31328.0;3
248;455000.0;5741000.0;31413.0;4
248;455000.0;5741000.0;31685.0;5
248;455000.0;5741000.0;32015.0;6
248;455000.0;5741000.0;51214.0;7
248;455000.0;5741000.0;51437.0;6
248;455000.0;5741000.0;52013.0;5
248;455000.0;5741000.0;53116.0;4
248;455000.0;5741000.0;53252.0;3
248;455000.0;5741000.0;53709.0;2
248;455000.0;5741000.0;53790.0;1
248;455000.0;5741000.0;54293.0;0
248;455000.0;5741000.0;57160.0;1
248;455000.0;5741000.0;57526.0;0
248;455000.0;5741000.0;58986.0;1
248;455000.0;5741000.0;59456.0;2
248;455000.0;5741000.0;59746.0;1
248;455000.0;5741000.0;60025.0;2
248;455000.0;5741000.0;60205.0;3
248;455000.0;5741000.0;60446.0;4
248;455000.0;5741000.0;60670.0;5
248;455000.0;5741000.0;60884.0;4
248;455000.0;5741000.0;61451.0;5
248;455000.0;5741000.0;61637.0;4
248;455000.0;5741000.0;61844.0;5
248;455000.0;5741000.0;62004.0;6
248;455000.0;5741000.0;62116.0;7
248;455000.0;5741000.0;64480.0;8
248;455000.0;5741000.0;64548.0;7
248;455000.0;5741000.0;67072.0;8
248;455000.0;5741000.0;86400.0;7
248;455000.0;5741000.0;86400.0;6
248;455000.0;5741000.0;86400.0;5
248;455000.0;5741000.0;86400.0;4
248;455000.0;5741000.0;86400.0;3
248;455000.0;5741000.0;86400.0;2
248;455000.0;5741000.0;86400.0;1
248;455000.0;5741000.0;86400.0;0
414;467000.0;5725000.0;0.0;0
331;461000.0;5733000.0;0.0;0
558;477000.0;5723000.0;0.0;0
557;477000.0;5721000.0;0.0;0
557;477000.0;5721000.0;0.0;1
557;477000.0;5721000.0;86400.0;0
280;457000.0;5747000.0;0.0;0
510;473000.0;5743000.0;0.0;0
337;461000.0;5745000.0;0.0;0
337;461000.0;5745000.0;0.0;1
337;461000.0;5745000.0;0.0;2
337;461000.0;5745000.0;0.0;3
337;461000.0;5745000.0;0.0;4
337;461000.0;5745000.0;0.0;5
337;461000.0;5745000.0;25285.0;4
337;461000.0;5745000.0;25393.0;3
337;461000.0;5745000.0;25796.0;2
337;461000.0;5745000.0;25910.0;1
337;461000.0;5745000.0;56618.0;0
19;439000.0;5747000.0;0.0;0
201;451000.0;5763000.0;0.0;0
485;471000.0;5751000.0;0.0;0
103;445000.0;5741000.0;0.0;0
379;465000.0;5713000.0;0.0;0
95;445000.0;5725000.0;0.0;0
590;479000.0;5729000.0;0.0;0
185;451000.0;5731000.0;0.0;0
185;451000.0;5731000.0;0.0;1
185;451000.0;5731000.0;23899.0;2
185;451000.0;5731000.0;24325.0;3
185;451000.0;5731000.0;25062.0;2
185;451000.0;5731000.0;25182.0;1
185;451000.0;5731000.0;25454.0;0
185;451000.0;5731000.0;59209.0;1
185;451000.0;5731000.0;59240.0;0
185;451000.0;5731000.0;62096.0;1
185;451000.0;5731000.0;62402.0;0
500;473000.0;5723000.0;0.0;0
500;473000.0;5723000.0;0.0;1
500;473000.0;5723000.0;86400.0;0
499;473000.0;5721000.0;0.0;0
499;473000.0;5721000.0;0.0;1
499;473000.0;5721000.0;0.0;2
499;473000.0;5721000.0;86400.0;1
499;473000.0;5721000.0;86400.0;0
308;459000.0;5745000.0;0.0;0
308;459000.0;5745000.0;0.0;1
308;459000.0;5745000.0;24329.0;0
299;459000.0;5727000.0;0.0;0
618;481000.0;5727000.0;0.0;0
511;473000.0;5745000.0;0.0;0
422;467000.0;5741000.0;0.0;0
205;453000.0;5713000.0;0.0;0
572;477000.0;5751000.0;0.0;0
572;477000.0;5751000.0;0.0;1
572;477000.0;5751000.0;0.0;2
572;477000.0;5751000.0;86400.0;1
572;477000.0;5751000.0;86400.0;0
339;461000.0;5749000.0;0.0;0
339;461000.0;5749000.0;0.0;1
339;461000.0;5749000.0;58527.0;0
63;443000.0;5719000.0;0.0;0
79;443000.0;5751000.0;0.0;0
305;459000.0;5739000.0;0.0;0
281;457000.0;5749000.0;0.0;0
438;469000.0;5715000.0;0.0;0
468;471000.0;5717000.0;0.0;0
468;471000.0;5717000.0;0.0;1
468;471000.0;5717000.0;0.0;2
468;471000.0;5717000.0;86400.0;1
468;471000.0;5717000.0;86400.0;0
352;463000.0;5717000.0;0.0;0
302;459000.0;5733000.0;0.0;0
302;459000.0;5733000.0;31512.0;1
302;459000.0;5733000.0;52865.0;0
302;459000.0;5733000.0;65292.0;1
302;459000.0;5733000.0;86400.0;0
423;467000.0;5743000.0;0.0;0
393;465000.0;5741000.0;0.0;0
447;469000.0;5733000.0;0.0;0
447;469000.0;5733000.0;0.0;1
447;469000.0;5733000.0;86400.0;0
221;453000.0;5745000.0;0.0;0
221;453000.0;5745000.0;23293.0;1
221;453000.0;5745000.0;23668.0;2
221;453000.0;5745000.0;24217.0;1
221;453000.0;5745000.0;24700.0;2
221;453000.0;5745000.0;24977.0;1
221;453000.0;5745000.0;25317.0;2
221;453000.0;5745000.0;25644.0;1
221;453000.0;5745000.0;25866.0;0
221;453000.0;5745000.0;30770.0;1
221;453000.0;5745000.0;30821.0;0
221;453000.0;5745000.0;60472.0;1
221;453000.0;5745000.0;62161.0;2
221;453000.0;5745000.0;62250.0;1
221;453000.0;5745000.0;63899.0;2
221;453000.0;5745000.0;86400.0;1
221;453000.0;5745000.0;86400.0;0
187;451000.0;5735000.0;0.0;0
187;451000.0;5735000.0;0.0;1
187;451000.0;5735000.0;0.0;2
187;451000.0;5735000.0;0.0;3
187;451000.0;5735000.0;21318.0;4
187;451000.0;5735000.0;21528.0;5
187;451000.0;5735000.0;22457.0;4
187;451000.0;5735000.0;22480.0;5
187;451000.0;5735000.0;23082.0;4
187;451000.0;5735000.0;24839.0;3
187;451000.0;5735000.0;24961.0;2
187;451000.0;5735000.0;25174.0;1
187;451000.0;5735000.0;25283.0;0
187;451000.0;5735000.0;30951.0;1
187;451000.0;5735000.0;31446.0;0
187;451000.0;5735000.0;31842.0;1
187;451000.0;5735000.0;31866.0;2
187;451000.0;5735000.0;31920.0;3
187;451000.0;5735000.0;32527.0;4
187;451000.0;5735000.0;32659.0;3
187;451000.0;5735000.0;33018.0;4
187;451000.0;5735000.0;33604.0;5
187;451000.0;5735000.0;51331.0;4
187;451000.0;5735000.0;52701.0;3
187;451000.0;5735000.0;53187.0;2
187;451000.0;5735000.0;53432.0;1
187;451000.0;5735000.0;53517.0;0
187;451000.0;5735000.0;61153.0;1
187;451000.0;5735000.0;61225.0;2
187;451000.0;5735000.0;61714.0;3
187;451000.0;5735000.0;63175.0;4
187;451000.0;5735000.0;64160.0;5
